"Time","Average Response Rate","edge-server-cv-74d975f7cd-h8kdk Response","edge-server-cv-74d975f7cd-mqhqf Response"
2022-04-18 17:26:30,306 ms,348 ms,263 ms
2022-04-18 17:26:32,308 ms,348 ms,268 ms
2022-04-18 17:26:34,392 ms,362 ms,422 ms
2022-04-18 17:26:36,378 ms,377 ms,378 ms
2022-04-18 17:26:38,370 ms,365 ms,376 ms
2022-04-18 17:26:40,382 ms,365 ms,400 ms
2022-04-18 17:26:42,283 ms,260 ms,306 ms
2022-04-18 17:26:44,283 ms,260 ms,306 ms
2022-04-18 17:26:46,275 ms,268 ms,282 ms
2022-04-18 17:26:48,239 ms,279 ms,199 ms
2022-04-18 17:26:50,249 ms,277 ms,220 ms
2022-04-18 17:26:52,248 ms,276 ms,220 ms
2022-04-18 17:26:54,578 ms,323 ms,833 ms
2022-04-18 17:26:56,610 ms,462 ms,759 ms
2022-04-18 17:26:58,580 ms,475 ms,685 ms
2022-04-18 17:27:00,565 ms,445 ms,685 ms
2022-04-18 17:27:02,516 ms,547 ms,485 ms
2022-04-18 17:27:04,423 ms,547 ms,299 ms
2022-04-18 17:27:06,217 ms,232 ms,202 ms
2022-04-18 17:27:08,241 ms,252 ms,230 ms
2022-04-18 17:27:10,246 ms,252 ms,240 ms
2022-04-18 17:27:12,296 ms,345 ms,247 ms
2022-04-18 17:27:14,302 ms,349 ms,256 ms
2022-04-18 17:27:16,364 ms,373 ms,354 ms
2022-04-18 17:27:18,364 ms,373 ms,354 ms
2022-04-18 17:27:20,386 ms,373 ms,398 ms
2022-04-18 17:27:22,344 ms,264 ms,425 ms
2022-04-18 17:27:24,393 ms,348 ms,438 ms
2022-04-18 17:27:26,377 ms,348 ms,407 ms
2022-04-18 17:27:28,,313 ms,
2022-04-18 17:27:30,649 ms,339 ms,959 ms
2022-04-18 17:27:32,518 ms,309 ms,728 ms
2022-04-18 17:27:34,492 ms,368 ms,615 ms
2022-04-18 17:27:36,395 ms,348 ms,442 ms
2022-04-18 17:27:38,412 ms,398 ms,425 ms
2022-04-18 17:27:40,335 ms,399 ms,270 ms
2022-04-18 17:27:42,364 ms,457 ms,271 ms
2022-04-18 17:27:44,354 ms,440 ms,268 ms
2022-04-18 17:27:46,347 ms,436 ms,258 ms
2022-04-18 17:27:48,298 ms,349 ms,247 ms
2022-04-18 17:27:50,299 ms,346 ms,252 ms
2022-04-18 17:27:52,300 ms,332 ms,268 ms
2022-04-18 17:27:54,336 ms,317 ms,354 ms
2022-04-18 17:27:56,325 ms,306 ms,343 ms
2022-04-18 17:27:58,326 ms,307 ms,345 ms
2022-04-18 17:28:00,330 ms,289 ms,371 ms
2022-04-18 17:28:02,317 ms,344 ms,291 ms
2022-04-18 17:28:04,320 ms,358 ms,282 ms
2022-04-18 17:28:06,341 ms,451 ms,232 ms
2022-04-18 17:28:08,360 ms,495 ms,225 ms
2022-04-18 17:28:10,363 ms,495 ms,231 ms
2022-04-18 17:28:12,350 ms,466 ms,235 ms
2022-04-18 17:28:14,418 ms,460 ms,375 ms
2022-04-18 17:28:16,328 ms,243 ms,412 ms
2022-04-18 17:28:18,316 ms,242 ms,391 ms
2022-04-18 17:28:20,318 ms,247 ms,388 ms
2022-04-18 17:28:22,253 ms,249 ms,258 ms
2022-04-18 17:28:24,251 ms,243 ms,259 ms
2022-04-18 17:28:26,266 ms,273 ms,259 ms
2022-04-18 17:28:28,287 ms,317 ms,257 ms
2022-04-18 17:28:30,292 ms,317 ms,266 ms
2022-04-18 17:28:32,423 ms,312 ms,534 ms
2022-04-18 17:28:34,535 ms,332 ms,737 ms
2022-04-18 17:28:36,505 ms,273 ms,737 ms
2022-04-18 17:28:38,490 ms,243 ms,737 ms
2022-04-18 17:28:40,557 ms,310 ms,804 ms
2022-04-18 17:28:42,376 ms,305 ms,448 ms
2022-04-18 17:28:44,402 ms,299 ms,504 ms
2022-04-18 17:28:46,408 ms,313 ms,504 ms
2022-04-18 17:28:48,378 ms,313 ms,442 ms
2022-04-18 17:28:50,294 ms,275 ms,313 ms
2022-04-18 17:28:52,314 ms,290 ms,339 ms
2022-04-18 17:28:54,334 ms,306 ms,363 ms
2022-04-18 17:28:56,353 ms,322 ms,383 ms
2022-04-18 17:28:58,343 ms,306 ms,380 ms
2022-04-18 17:29:00,340 ms,306 ms,373 ms
2022-04-18 17:29:02,305 ms,270 ms,341 ms
2022-04-18 17:29:04,271 ms,264 ms,278 ms
2022-04-18 17:29:06,251 ms,251 ms,251 ms
2022-04-18 17:29:08,301 ms,351 ms,252 ms
2022-04-18 17:29:10,314 ms,384 ms,244 ms
2022-04-18 17:29:12,283 ms,351 ms,215 ms
2022-04-18 17:29:14,310 ms,351 ms,270 ms
2022-04-18 17:29:16,293 ms,316 ms,270 ms
2022-04-18 17:29:18,252 ms,229 ms,275 ms
2022-04-18 17:29:20,226 ms,206 ms,247 ms
2022-04-18 17:29:22,263 ms,226 ms,299 ms
2022-04-18 17:29:24,275 ms,250 ms,299 ms
2022-04-18 17:29:26,273 ms,250 ms,295 ms
2022-04-18 17:29:28,289 ms,266 ms,312 ms
2022-04-18 17:29:30,305 ms,272 ms,339 ms
2022-04-18 17:29:32,293 ms,308 ms,279 ms
2022-04-18 17:29:34,283 ms,292 ms,273 ms
2022-04-18 17:29:36,271 ms,286 ms,257 ms
2022-04-18 17:29:38,271 ms,287 ms,255 ms
2022-04-18 17:29:40,266 ms,264 ms,268 ms
2022-04-18 17:29:42,262 ms,270 ms,254 ms
2022-04-18 17:29:44,,,423 ms
2022-04-18 17:29:46,,,586 ms
2022-04-18 17:29:48,360 ms,252 ms,468 ms
2022-04-18 17:29:50,384 ms,252 ms,515 ms
2022-04-18 17:29:52,387 ms,259 ms,515 ms
2022-04-18 17:29:54,300 ms,319 ms,281 ms
2022-04-18 17:29:56,326 ms,301 ms,350 ms
