"Time","Average Response Rate","edge-server-cv-78d887c496-f2l75 Response","edge-server-cv-78d887c496-fczhb Response","edge-server-cv-78d887c496-wrh5q Response"
2022-04-19 18:36:16,398 ms,475 ms,349 ms,369 ms
2022-04-19 18:36:18,376 ms,425 ms,345 ms,359 ms
2022-04-19 18:36:20,411 ms,468 ms,343 ms,423 ms
2022-04-19 18:36:22,511 ms,444 ms,352 ms,738 ms
2022-04-19 18:36:24,522 ms,445 ms,355 ms,767 ms
2022-04-19 18:36:26,520 ms,439 ms,352 ms,767 ms
2022-04-19 18:36:28,514 ms,429 ms,356 ms,759 ms
2022-04-19 18:36:30,432 ms,302 ms,329 ms,665 ms
2022-04-19 18:36:32,364 ms,322 ms,329 ms,440 ms
2022-04-19 18:36:34,369 ms,339 ms,323 ms,446 ms
2022-04-19 18:36:36,360 ms,328 ms,302 ms,449 ms
2022-04-19 18:36:38,364 ms,334 ms,375 ms,382 ms
2022-04-19 18:36:40,330 ms,324 ms,350 ms,317 ms
2022-04-19 18:36:42,327 ms,302 ms,377 ms,302 ms
2022-04-19 18:36:44,343 ms,341 ms,393 ms,295 ms
2022-04-19 18:36:46,340 ms,340 ms,387 ms,293 ms
2022-04-19 18:36:48,330 ms,351 ms,379 ms,260 ms
2022-04-19 18:36:50,385 ms,348 ms,517 ms,288 ms
2022-04-19 18:36:52,389 ms,359 ms,515 ms,295 ms
2022-04-19 18:36:54,378 ms,339 ms,500 ms,294 ms
2022-04-19 18:36:56,396 ms,399 ms,472 ms,315 ms
2022-04-19 18:36:58,325 ms,373 ms,300 ms,303 ms
2022-04-19 18:37:00,322 ms,379 ms,287 ms,302 ms
2022-04-19 18:37:02,316 ms,358 ms,286 ms,305 ms
2022-04-19 18:37:04,326 ms,326 ms,289 ms,363 ms
2022-04-19 18:37:06,357 ms,307 ms,329 ms,435 ms
2022-04-19 18:37:08,357 ms,326 ms,319 ms,426 ms
2022-04-19 18:37:10,350 ms,319 ms,329 ms,401 ms
2022-04-19 18:37:12,358 ms,311 ms,340 ms,423 ms
2022-04-19 18:37:14,405 ms,304 ms,310 ms,601 ms
2022-04-19 18:37:16,404 ms,308 ms,311 ms,592 ms
2022-04-19 18:37:18,415 ms,347 ms,317 ms,579 ms
2022-04-19 18:37:20,416 ms,345 ms,319 ms,584 ms
2022-04-19 18:37:22,313 ms,338 ms,301 ms,300 ms
2022-04-19 18:37:24,353 ms,347 ms,439 ms,275 ms
2022-04-19 18:37:26,429 ms,318 ms,583 ms,384 ms
2022-04-19 18:37:28,493 ms,410 ms,634 ms,435 ms
2022-04-19 18:37:30,516 ms,429 ms,658 ms,459 ms
2022-04-19 18:37:32,503 ms,447 ms,618 ms,446 ms
2022-04-19 18:37:34,434 ms,428 ms,464 ms,409 ms
2022-04-19 18:37:36,377 ms,355 ms,456 ms,321 ms
2022-04-19 18:37:38,380 ms,395 ms,467 ms,277 ms
2022-04-19 18:37:40,382 ms,404 ms,473 ms,268 ms
2022-04-19 18:37:42,388 ms,400 ms,488 ms,276 ms
2022-04-19 18:37:44,388 ms,461 ms,428 ms,276 ms
2022-04-19 18:37:46,369 ms,425 ms,355 ms,329 ms
2022-04-19 18:37:48,372 ms,400 ms,363 ms,354 ms
2022-04-19 18:37:50,440 ms,613 ms,352 ms,357 ms
2022-04-19 18:37:52,511 ms,822 ms,364 ms,347 ms
2022-04-19 18:37:54,549 ms,970 ms,359 ms,319 ms
2022-04-19 18:37:56,542 ms,952 ms,380 ms,293 ms
2022-04-19 18:37:58,565 ms,960 ms,449 ms,286 ms
2022-04-19 18:38:00,510 ms,793 ms,434 ms,303 ms
2022-04-19 18:38:02,412 ms,522 ms,406 ms,308 ms
2022-04-19 18:38:04,386 ms,478 ms,359 ms,322 ms
2022-04-19 18:38:06,384 ms,492 ms,339 ms,319 ms
2022-04-19 18:38:08,380 ms,405 ms,344 ms,390 ms
2022-04-19 18:38:10,433 ms,361 ms,491 ms,446 ms
2022-04-19 18:38:12,521 ms,588 ms,513 ms,461 ms
2022-04-19 18:38:14,561 ms,680 ms,547 ms,457 ms
2022-04-19 18:38:16,568 ms,655 ms,572 ms,478 ms
2022-04-19 18:38:18,489 ms,629 ms,426 ms,414 ms
2022-04-19 18:38:20,444 ms,570 ms,386 ms,376 ms
2022-04-19 18:38:22,367 ms,344 ms,380 ms,378 ms
