"Time","Average Response Rate","edge-server-cv-78d887c496-c9b5z Response","edge-server-cv-78d887c496-pgbtd Response"
2022-04-19 14:46:30,471 ms,440 ms,502 ms
2022-04-19 14:46:32,494 ms,437 ms,550 ms
2022-04-19 14:46:34,482 ms,457 ms,507 ms
2022-04-19 14:46:36,517 ms,535 ms,500 ms
2022-04-19 14:46:38,482 ms,496 ms,468 ms
2022-04-19 14:46:40,423 ms,521 ms,326 ms
2022-04-19 14:46:42,516 ms,624 ms,408 ms
2022-04-19 14:46:44,526 ms,610 ms,441 ms
2022-04-19 14:46:46,519 ms,514 ms,524 ms
2022-04-19 14:46:48,626 ms,478 ms,775 ms
2022-04-19 14:46:50,588 ms,408 ms,769 ms
2022-04-19 14:46:52,598 ms,372 ms,824 ms
2022-04-19 14:46:54,531 ms,332 ms,730 ms
2022-04-19 14:46:56,494 ms,343 ms,645 ms
2022-04-19 14:46:58,398 ms,351 ms,445 ms
2022-04-19 14:47:00,416 ms,396 ms,437 ms
2022-04-19 14:47:02,419 ms,414 ms,425 ms
2022-04-19 14:47:04,409 ms,400 ms,417 ms
2022-04-19 14:47:06,373 ms,416 ms,331 ms
2022-04-19 14:47:08,426 ms,501 ms,351 ms
2022-04-19 14:47:10,405 ms,464 ms,347 ms
2022-04-19 14:47:12,406 ms,471 ms,340 ms
2022-04-19 14:47:14,379 ms,473 ms,286 ms
2022-04-19 14:47:16,376 ms,478 ms,273 ms
2022-04-19 14:47:18,382 ms,507 ms,256 ms
2022-04-19 14:47:20,381 ms,512 ms,249 ms
2022-04-19 14:47:22,457 ms,655 ms,259 ms
2022-04-19 14:47:24,487 ms,712 ms,262 ms
2022-04-19 14:47:26,455 ms,642 ms,268 ms
2022-04-19 14:47:28,634 ms,1.00 s,266 ms
2022-04-19 14:47:30,639 ms,942 ms,337 ms
2022-04-19 14:47:32,508 ms,661 ms,356 ms
2022-04-19 14:47:34,525 ms,565 ms,485 ms
2022-04-19 14:47:36,525 ms,507 ms,543 ms
2022-04-19 14:47:38,459 ms,355 ms,562 ms
2022-04-19 14:47:40,452 ms,321 ms,583 ms
2022-04-19 14:47:42,447 ms,321 ms,572 ms
2022-04-19 14:47:44,423 ms,368 ms,478 ms
2022-04-19 14:47:46,410 ms,370 ms,450 ms
2022-04-19 14:47:48,440 ms,472 ms,409 ms
2022-04-19 14:47:50,445 ms,546 ms,343 ms
2022-04-19 14:47:52,410 ms,546 ms,275 ms
2022-04-19 14:47:54,392 ms,515 ms,270 ms
2022-04-19 14:47:56,383 ms,429 ms,336 ms
2022-04-19 14:47:58,403 ms,400 ms,406 ms
2022-04-19 14:48:00,414 ms,414 ms,414 ms
2022-04-19 14:48:02,428 ms,414 ms,442 ms
2022-04-19 14:48:04,456 ms,455 ms,456 ms
2022-04-19 14:48:06,422 ms,512 ms,333 ms
2022-04-19 14:48:08,411 ms,487 ms,336 ms
2022-04-19 14:48:10,399 ms,437 ms,360 ms
2022-04-19 14:48:12,441 ms,429 ms,453 ms
2022-04-19 14:48:14,422 ms,339 ms,505 ms
2022-04-19 14:48:16,435 ms,279 ms,591 ms
2022-04-19 14:48:18,454 ms,322 ms,587 ms
2022-04-19 14:48:20,504 ms,435 ms,573 ms
2022-04-19 14:48:22,501 ms,489 ms,512 ms
2022-04-19 14:48:24,527 ms,483 ms,571 ms
2022-04-19 14:48:26,600 ms,644 ms,555 ms
2022-04-19 14:48:28,579 ms,601 ms,557 ms
2022-04-19 14:48:30,543 ms,570 ms,517 ms
2022-04-19 14:48:32,544 ms,579 ms,510 ms
2022-04-19 14:48:34,400 ms,412 ms,388 ms
2022-04-19 14:48:36,345 ms,298 ms,393 ms
2022-04-19 14:48:38,365 ms,315 ms,414 ms
2022-04-19 14:48:40,528 ms,694 ms,362 ms
2022-04-19 14:48:42,548 ms,763 ms,333 ms
2022-04-19 14:48:44,704 ms,946 ms,462 ms
2022-04-19 14:48:46,788 ms,1.02 s,561 ms
2022-04-19 14:48:48,741 ms,835 ms,647 ms
2022-04-19 14:48:50,666 ms,688 ms,644 ms
2022-04-19 14:48:52,569 ms,547 ms,590 ms
2022-04-19 14:48:54,436 ms,326 ms,545 ms
2022-04-19 14:48:56,399 ms,336 ms,462 ms
2022-04-19 14:48:58,426 ms,293 ms,558 ms
2022-04-19 14:49:00,447 ms,321 ms,574 ms
2022-04-19 14:49:02,433 ms,316 ms,550 ms
2022-04-19 14:49:04,418 ms,322 ms,515 ms
2022-04-19 14:49:06,554 ms,728 ms,380 ms
2022-04-19 14:49:08,625 ms,838 ms,413 ms
2022-04-19 14:49:10,659 ms,914 ms,405 ms
2022-04-19 14:49:12,558 ms,671 ms,445 ms
