"Time","Average Response Rate","edge-server-cv-78d887c496-hwv29 Response","edge-server-cv-78d887c496-rpl2c Response"
2022-04-19 14:09:50,388 ms,276 ms,499 ms
2022-04-19 14:09:52,372 ms,267 ms,478 ms
2022-04-19 14:09:54,375 ms,270 ms,479 ms
2022-04-19 14:09:56,370 ms,262 ms,477 ms
2022-04-19 14:09:58,267 ms,250 ms,284 ms
2022-04-19 14:10:00,257 ms,247 ms,267 ms
2022-04-19 14:10:02,254 ms,251 ms,256 ms
2022-04-19 14:10:04,260 ms,271 ms,249 ms
2022-04-19 14:10:06,263 ms,288 ms,238 ms
2022-04-19 14:10:08,299 ms,356 ms,243 ms
2022-04-19 14:10:10,316 ms,387 ms,244 ms
2022-04-19 14:10:12,309 ms,376 ms,241 ms
2022-04-19 14:10:14,419 ms,446 ms,393 ms
2022-04-19 14:10:16,406 ms,419 ms,394 ms
2022-04-19 14:10:18,395 ms,408 ms,381 ms
2022-04-19 14:10:20,387 ms,397 ms,377 ms
2022-04-19 14:10:22,363 ms,348 ms,379 ms
2022-04-19 14:10:24,311 ms,299 ms,323 ms
2022-04-19 14:10:26,300 ms,296 ms,304 ms
2022-04-19 14:10:28,338 ms,306 ms,369 ms
2022-04-19 14:10:30,356 ms,302 ms,410 ms
2022-04-19 14:10:32,349 ms,273 ms,424 ms
2022-04-19 14:10:34,556 ms,275 ms,837 ms
2022-04-19 14:10:36,556 ms,262 ms,851 ms
2022-04-19 14:10:38,536 ms,250 ms,821 ms
2022-04-19 14:10:40,302 ms,300 ms,304 ms
2022-04-19 14:10:42,304 ms,306 ms,303 ms
2022-04-19 14:10:44,297 ms,329 ms,266 ms
2022-04-19 14:10:46,331 ms,415 ms,246 ms
2022-04-19 14:10:48,342 ms,435 ms,248 ms
2022-04-19 14:10:50,381 ms,428 ms,334 ms
2022-04-19 14:10:52,623 ms,429 ms,817 ms
2022-04-19 14:10:54,718 ms,512 ms,925 ms
2022-04-19 14:10:56,647 ms,443 ms,852 ms
2022-04-19 14:10:58,652 ms,412 ms,892 ms
2022-04-19 14:11:00,460 ms,395 ms,525 ms
2022-04-19 14:11:02,335 ms,297 ms,373 ms
2022-04-19 14:11:04,315 ms,252 ms,378 ms
2022-04-19 14:11:06,362 ms,346 ms,377 ms
2022-04-19 14:11:08,495 ms,601 ms,389 ms
2022-04-19 14:11:10,499 ms,644 ms,355 ms
2022-04-19 14:11:12,472 ms,626 ms,318 ms
2022-04-19 14:11:14,442 ms,594 ms,290 ms
2022-04-19 14:11:16,354 ms,387 ms,321 ms
2022-04-19 14:11:18,298 ms,266 ms,330 ms
2022-04-19 14:11:20,310 ms,281 ms,339 ms
2022-04-19 14:11:22,317 ms,285 ms,349 ms
2022-04-19 14:11:24,327 ms,282 ms,373 ms
2022-04-19 14:11:26,336 ms,281 ms,390 ms
2022-04-19 14:11:28,321 ms,262 ms,381 ms
2022-04-19 14:11:30,323 ms,288 ms,358 ms
2022-04-19 14:11:32,359 ms,374 ms,343 ms
2022-04-19 14:11:34,372 ms,416 ms,328 ms
2022-04-19 14:11:36,355 ms,426 ms,284 ms
2022-04-19 14:11:38,336 ms,397 ms,275 ms
2022-04-19 14:11:40,323 ms,375 ms,271 ms
2022-04-19 14:11:42,279 ms,289 ms,269 ms
2022-04-19 14:11:44,281 ms,299 ms,264 ms
2022-04-19 14:11:46,327 ms,382 ms,272 ms
2022-04-19 14:11:48,334 ms,386 ms,282 ms
2022-04-19 14:11:50,356 ms,394 ms,317 ms
2022-04-19 14:11:52,379 ms,407 ms,351 ms
2022-04-19 14:11:54,366 ms,295 ms,438 ms
2022-04-19 14:11:56,353 ms,266 ms,441 ms
2022-04-19 14:11:58,368 ms,287 ms,450 ms
2022-04-19 14:12:00,374 ms,318 ms,430 ms
2022-04-19 14:12:02,359 ms,310 ms,408 ms
2022-04-19 14:12:04,340 ms,318 ms,363 ms
2022-04-19 14:12:06,345 ms,306 ms,384 ms
2022-04-19 14:12:08,331 ms,264 ms,397 ms
2022-04-19 14:12:10,315 ms,269 ms,362 ms
2022-04-19 14:12:12,312 ms,274 ms,350 ms
2022-04-19 14:12:14,356 ms,282 ms,430 ms
2022-04-19 14:12:16,362 ms,270 ms,454 ms
2022-04-19 14:12:18,367 ms,287 ms,448 ms
2022-04-19 14:12:20,369 ms,289 ms,449 ms
2022-04-19 14:12:22,341 ms,318 ms,364 ms
2022-04-19 14:12:24,342 ms,321 ms,362 ms
2022-04-19 14:12:26,332 ms,320 ms,344 ms
2022-04-19 14:12:28,329 ms,309 ms,348 ms
2022-04-19 14:12:30,324 ms,322 ms,327 ms
2022-04-19 14:12:32,328 ms,306 ms,351 ms
2022-04-19 14:12:34,324 ms,309 ms,339 ms
2022-04-19 14:12:36,319 ms,302 ms,336 ms
2022-04-19 14:12:38,321 ms,271 ms,371 ms
2022-04-19 14:12:40,314 ms,273 ms,354 ms
2022-04-19 14:12:42,333 ms,312 ms,354 ms
2022-04-19 14:12:44,340 ms,336 ms,343 ms
2022-04-19 14:12:46,346 ms,337 ms,355 ms
2022-04-19 14:12:48,325 ms,341 ms,309 ms
2022-04-19 14:12:50,302 ms,298 ms,306 ms
2022-04-19 14:12:52,330 ms,351 ms,310 ms
2022-04-19 14:12:54,319 ms,340 ms,299 ms
2022-04-19 14:12:56,308 ms,335 ms,282 ms
2022-04-19 14:12:58,394 ms,457 ms,331 ms
2022-04-19 14:13:00,394 ms,392 ms,395 ms
2022-04-19 14:13:02,408 ms,410 ms,407 ms
2022-04-19 14:13:04,416 ms,435 ms,397 ms
2022-04-19 14:13:06,389 ms,375 ms,402 ms
2022-04-19 14:13:08,323 ms,313 ms,333 ms
2022-04-19 14:13:10,313 ms,304 ms,323 ms
2022-04-19 14:13:12,319 ms,301 ms,337 ms
2022-04-19 14:13:14,313 ms,283 ms,344 ms
2022-04-19 14:13:16,340 ms,293 ms,387 ms
2022-04-19 14:13:18,335 ms,277 ms,393 ms
2022-04-19 14:13:20,327 ms,295 ms,359 ms
2022-04-19 14:13:22,376 ms,389 ms,364 ms
2022-04-19 14:13:24,404 ms,385 ms,422 ms
2022-04-19 14:13:26,380 ms,401 ms,358 ms
2022-04-19 14:13:28,385 ms,395 ms,376 ms
2022-04-19 14:13:30,355 ms,342 ms,369 ms
2022-04-19 14:13:32,293 ms,292 ms,294 ms
2022-04-19 14:13:34,282 ms,274 ms,291 ms
2022-04-19 14:13:36,295 ms,275 ms,316 ms
2022-04-19 14:13:38,285 ms,258 ms,312 ms
2022-04-19 14:13:40,281 ms,255 ms,306 ms
2022-04-19 14:13:42,283 ms,267 ms,300 ms
2022-04-19 14:13:44,261 ms,268 ms,254 ms
2022-04-19 14:13:46,271 ms,300 ms,242 ms
2022-04-19 14:13:48,278 ms,294 ms,262 ms
2022-04-19 14:13:50,304 ms,333 ms,275 ms
2022-04-19 14:13:52,313 ms,340 ms,286 ms
2022-04-19 14:13:54,308 ms,328 ms,288 ms
2022-04-19 14:13:56,308 ms,333 ms,282 ms
2022-04-19 14:13:58,295 ms,325 ms,266 ms
2022-04-19 14:14:00,276 ms,285 ms,267 ms
2022-04-19 14:14:02,274 ms,283 ms,266 ms
2022-04-19 14:14:04,278 ms,288 ms,268 ms
2022-04-19 14:14:06,279 ms,288 ms,269 ms
2022-04-19 14:14:08,291 ms,287 ms,294 ms
2022-04-19 14:14:10,308 ms,315 ms,301 ms
2022-04-19 14:14:12,307 ms,310 ms,304 ms
2022-04-19 14:14:14,300 ms,295 ms,306 ms
2022-04-19 14:14:16,298 ms,296 ms,300 ms
2022-04-19 14:14:18,284 ms,267 ms,301 ms
2022-04-19 14:14:20,308 ms,287 ms,329 ms
2022-04-19 14:14:22,415 ms,386 ms,445 ms
2022-04-19 14:14:24,435 ms,394 ms,476 ms
2022-04-19 14:14:26,461 ms,425 ms,498 ms
2022-04-19 14:14:28,455 ms,436 ms,473 ms
2022-04-19 14:14:30,327 ms,388 ms,266 ms
2022-04-19 14:14:32,288 ms,322 ms,255 ms
2022-04-19 14:14:34,274 ms,282 ms,266 ms
2022-04-19 14:14:36,296 ms,334 ms,258 ms
2022-04-19 14:14:38,332 ms,332 ms,332 ms
2022-04-19 14:14:40,351 ms,343 ms,359 ms
2022-04-19 14:14:42,353 ms,356 ms,349 ms
2022-04-19 14:14:44,357 ms,361 ms,354 ms
2022-04-19 14:14:46,338 ms,331 ms,345 ms
2022-04-19 14:14:48,303 ms,350 ms,256 ms
2022-04-19 14:14:50,305 ms,349 ms,261 ms
2022-04-19 14:14:52,328 ms,400 ms,257 ms
2022-04-19 14:14:54,328 ms,400 ms,255 ms
2022-04-19 14:14:56,298 ms,341 ms,254 ms
2022-04-19 14:14:58,419 ms,336 ms,502 ms
2022-04-19 14:15:00,450 ms,323 ms,578 ms
2022-04-19 14:15:02,416 ms,268 ms,565 ms
2022-04-19 14:15:04,413 ms,269 ms,556 ms
2022-04-19 14:15:06,387 ms,269 ms,505 ms
2022-04-19 14:15:08,359 ms,270 ms,449 ms
2022-04-19 14:15:10,354 ms,269 ms,438 ms
2022-04-19 14:15:12,354 ms,272 ms,436 ms
2022-04-19 14:15:14,359 ms,274 ms,445 ms
2022-04-19 14:15:16,416 ms,476 ms,355 ms
2022-04-19 14:15:18,376 ms,446 ms,307 ms
2022-04-19 14:15:20,364 ms,430 ms,299 ms
2022-04-19 14:15:22,407 ms,511 ms,303 ms
2022-04-19 14:15:24,379 ms,418 ms,341 ms
2022-04-19 14:15:26,416 ms,438 ms,394 ms
2022-04-19 14:15:28,451 ms,445 ms,458 ms
2022-04-19 14:15:30,418 ms,367 ms,470 ms
2022-04-19 14:15:32,375 ms,269 ms,481 ms
2022-04-19 14:15:34,292 ms,254 ms,329 ms
2022-04-19 14:15:36,301 ms,278 ms,325 ms
2022-04-19 14:15:38,287 ms,292 ms,281 ms
2022-04-19 14:15:40,289 ms,294 ms,285 ms
2022-04-19 14:15:42,330 ms,380 ms,281 ms
2022-04-19 14:15:44,342 ms,384 ms,301 ms
2022-04-19 14:15:46,339 ms,382 ms,297 ms
2022-04-19 14:15:48,340 ms,388 ms,291 ms
2022-04-19 14:15:50,342 ms,392 ms,292 ms
2022-04-19 14:15:52,281 ms,312 ms,251 ms
2022-04-19 14:15:54,341 ms,379 ms,303 ms
2022-04-19 14:15:56,330 ms,364 ms,296 ms
2022-04-19 14:15:58,324 ms,357 ms,290 ms
2022-04-19 14:16:00,327 ms,365 ms,288 ms
2022-04-19 14:16:02,282 ms,320 ms,244 ms
2022-04-19 14:16:04,301 ms,301 ms,301 ms
2022-04-19 14:16:06,408 ms,308 ms,507 ms
