"Time","edge-server-cv-78d887c496-njhtr Response"
2022-04-18 15:24:14,252 ms
2022-04-18 15:24:16,318 ms
2022-04-18 15:24:18,307 ms
2022-04-18 15:24:20,372 ms
2022-04-18 15:24:22,371 ms
2022-04-18 15:24:24,336 ms
2022-04-18 15:24:26,336 ms
2022-04-18 15:24:28,319 ms
2022-04-18 15:24:30,260 ms
2022-04-18 15:24:32,257 ms
2022-04-18 15:24:34,252 ms
2022-04-18 15:24:36,248 ms
2022-04-18 15:24:38,249 ms
2022-04-18 15:24:40,249 ms
2022-04-18 15:24:42,249 ms
2022-04-18 15:24:44,250 ms
2022-04-18 15:24:46,243 ms
2022-04-18 15:24:48,241 ms
2022-04-18 15:24:50,246 ms
2022-04-18 15:24:52,250 ms
2022-04-18 15:24:54,232 ms
2022-04-18 15:24:56,229 ms
2022-04-18 15:24:58,233 ms
2022-04-18 15:25:00,237 ms
2022-04-18 15:25:02,240 ms
2022-04-18 15:25:04,243 ms
2022-04-18 15:25:06,250 ms
2022-04-18 15:25:08,246 ms
2022-04-18 15:25:10,248 ms
2022-04-18 15:25:12,259 ms
2022-04-18 15:25:14,261 ms
2022-04-18 15:25:16,265 ms
2022-04-18 15:25:18,256 ms
2022-04-18 15:25:20,249 ms
2022-04-18 15:25:22,243 ms
2022-04-18 15:25:24,247 ms
2022-04-18 15:25:26,271 ms
2022-04-18 15:25:28,269 ms
2022-04-18 15:25:30,312 ms
2022-04-18 15:25:32,325 ms
2022-04-18 15:25:34,314 ms
2022-04-18 15:25:36,302 ms
2022-04-18 15:25:38,264 ms
2022-04-18 15:25:40,264 ms
2022-04-18 15:25:42,285 ms
2022-04-18 15:25:44,288 ms
2022-04-18 15:25:46,298 ms
2022-04-18 15:25:48,302 ms
2022-04-18 15:25:50,271 ms
2022-04-18 15:25:52,266 ms
2022-04-18 15:25:54,258 ms
2022-04-18 15:25:56,261 ms
2022-04-18 15:25:58,262 ms
2022-04-18 15:26:00,251 ms
2022-04-18 15:26:02,253 ms
2022-04-18 15:26:04,253 ms
2022-04-18 15:26:06,254 ms
2022-04-18 15:26:08,261 ms
2022-04-18 15:26:10,256 ms
2022-04-18 15:26:12,255 ms
2022-04-18 15:26:14,246 ms
2022-04-18 15:26:16,248 ms
2022-04-18 15:26:18,258 ms
2022-04-18 15:26:20,283 ms
2022-04-18 15:26:22,282 ms
2022-04-18 15:26:24,293 ms
2022-04-18 15:26:26,294 ms
2022-04-18 15:26:28,262 ms
2022-04-18 15:26:30,277 ms
2022-04-18 15:26:32,263 ms
2022-04-18 15:26:34,262 ms
2022-04-18 15:26:36,263 ms
2022-04-18 15:26:38,242 ms
2022-04-18 15:26:40,220 ms
2022-04-18 15:26:42,245 ms
