"Time","edge-server-cv-74d975f7cd-ssg2f Response"
2022-04-18 14:16:40,257 ms
2022-04-18 14:16:42,339 ms
2022-04-18 14:16:44,419 ms
2022-04-18 14:16:46,561 ms
2022-04-18 14:16:48,541 ms
2022-04-18 14:16:50,484 ms
2022-04-18 14:16:52,463 ms
2022-04-18 14:16:54,403 ms
2022-04-18 14:16:56,294 ms
2022-04-18 14:16:58,292 ms
2022-04-18 14:17:00,431 ms
2022-04-18 14:17:02,438 ms
2022-04-18 14:17:04,419 ms
2022-04-18 14:17:06,433 ms
2022-04-18 14:17:08,663 ms
2022-04-18 14:17:10,606 ms
2022-04-18 14:17:12,559 ms
2022-04-18 14:17:14,533 ms
2022-04-18 14:17:16,481 ms
2022-04-18 14:17:18,316 ms
2022-04-18 14:17:20,316 ms
2022-04-18 14:17:22,298 ms
2022-04-18 14:17:24,393 ms
2022-04-18 14:17:26,617 ms
2022-04-18 14:17:28,670 ms
2022-04-18 14:17:30,649 ms
2022-04-18 14:17:32,662 ms
2022-04-18 14:17:34,570 ms
2022-04-18 14:17:36,447 ms
2022-04-18 14:17:38,500 ms
2022-04-18 14:17:40,419 ms
2022-04-18 14:17:42,407 ms
2022-04-18 14:17:44,408 ms
2022-04-18 14:17:46,400 ms
2022-04-18 14:17:48,347 ms
2022-04-18 14:17:50,320 ms
2022-04-18 14:17:52,521 ms
2022-04-18 14:17:54,573 ms
2022-04-18 14:17:56,617 ms
2022-04-18 14:17:58,565 ms
2022-04-18 14:18:00,575 ms
2022-04-18 14:18:02,504 ms
2022-04-18 14:18:04,464 ms
2022-04-18 14:18:06,447 ms
